[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold2/train.txt -test Fold2/test.txt -validate Fold2/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-lm2.txt

[+] General Parameters:
Training data:  Fold2/train.txt
Test data:      Fold2/test.txt
Validation data:        Fold2/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold2/train.txt]... [Done.]
(6000 ranked lists, 716683 entries read)
Reading feature file [Fold2/vali.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Reading feature file [Fold2/test.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
1       | 0.3347    | 0.3319    |
2       | 0.3504    | 0.3458    |
3       | 0.3528    | 0.3479    |
4       | 0.3528    | 0.3479    |
5       | 0.3528    | 0.3479    |
6       | 0.3641    | 0.359     |
7       | 0.3637    | 0.3591    |
8       | 0.3704    | 0.3659    |
9       | 0.3704    | 0.366     |
10      | 0.3783    | 0.3762    |
11      | 0.3787    | 0.3767    |
12      | 0.3793    | 0.3768    |
13      | 0.381     | 0.3775    |
14      | 0.3838    | 0.379     |
15      | 0.3847    | 0.3792    |
16      | 0.3864    | 0.3808    |
17      | 0.3862    | 0.3807    |
18      | 0.3923    | 0.3856    |
19      | 0.3926    | 0.3858    |
20      | 0.3934    | 0.3871    |
21      | 0.3944    | 0.3877    |
22      | 0.395     | 0.3881    |
23      | 0.396     | 0.3904    |
24      | 0.3984    | 0.3913    |
25      | 0.3996    | 0.391     |
26      | 0.4011    | 0.3916    |
27      | 0.4016    | 0.3932    |
28      | 0.4025    | 0.3934    |
29      | 0.4032    | 0.394     |
30      | 0.4046    | 0.3943    |
31      | 0.4055    | 0.3959    |
32      | 0.4062    | 0.3972    |
33      | 0.4075    | 0.3983    |
34      | 0.4078    | 0.3988    |
35      | 0.4086    | 0.3993    |
36      | 0.4092    | 0.4001    |
37      | 0.4098    | 0.4006    |
38      | 0.4111    | 0.4013    |
39      | 0.4118    | 0.402     |
40      | 0.4125    | 0.4022    |
41      | 0.4133    | 0.4028    |
42      | 0.4135    | 0.4034    |
43      | 0.4137    | 0.4036    |
44      | 0.4146    | 0.404     |
45      | 0.4157    | 0.4052    |
46      | 0.4161    | 0.4052    |
47      | 0.4169    | 0.4053    |
48      | 0.4173    | 0.4055    |
49      | 0.4183    | 0.4062    |
50      | 0.4188    | 0.4061    |
51      | 0.4193    | 0.4073    |
52      | 0.4197    | 0.4076    |
53      | 0.4201    | 0.4083    |
54      | 0.4207    | 0.4089    |
55      | 0.4214    | 0.4098    |
56      | 0.4213    | 0.4102    |
57      | 0.4221    | 0.4105    |
58      | 0.4227    | 0.411     |
59      | 0.4232    | 0.411     |
60      | 0.4235    | 0.4113    |
61      | 0.4236    | 0.4113    |
62      | 0.4241    | 0.4121    |
63      | 0.4246    | 0.413     |
64      | 0.4251    | 0.4134    |
65      | 0.4255    | 0.4138    |
66      | 0.4261    | 0.4151    |
67      | 0.4265    | 0.4151    |
68      | 0.4271    | 0.416     |
69      | 0.4279    | 0.4165    |
70      | 0.4278    | 0.4168    |
71      | 0.4284    | 0.4176    |
72      | 0.4289    | 0.4186    |
73      | 0.4292    | 0.4185    |
74      | 0.4296    | 0.4188    |
75      | 0.4298    | 0.4191    |
76      | 0.4299    | 0.4191    |
77      | 0.4305    | 0.4194    |
78      | 0.4307    | 0.4198    |
79      | 0.4311    | 0.4205    |
80      | 0.4316    | 0.4205    |
81      | 0.4319    | 0.4209    |
82      | 0.4321    | 0.4214    |
83      | 0.4326    | 0.4212    |
84      | 0.4332    | 0.4215    |
85      | 0.4335    | 0.4215    |
86      | 0.4337    | 0.4219    |
87      | 0.4339    | 0.4227    |
88      | 0.4344    | 0.4222    |
89      | 0.4348    | 0.4227    |
90      | 0.4351    | 0.4228    |
91      | 0.4355    | 0.4232    |
92      | 0.4359    | 0.4234    |
93      | 0.4358    | 0.4236    |
94      | 0.4362    | 0.4233    |
95      | 0.4367    | 0.4236    |
96      | 0.4367    | 0.4239    |
97      | 0.437     | 0.4241    |
98      | 0.4372    | 0.4241    |
99      | 0.4374    | 0.4241    |
100     | 0.4376    | 0.424     |
101     | 0.4377    | 0.4241    |
102     | 0.4381    | 0.4246    |
103     | 0.4383    | 0.4247    |
104     | 0.4384    | 0.425     |
105     | 0.4385    | 0.4252    |
106     | 0.4388    | 0.4259    |
107     | 0.4392    | 0.4262    |
