[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train F                                                                                                                                                             old3/train.txt -test Fold3/test.txt -validate Fold3/vali.txt -ranker 6 -metric2t                                                                                                                                                              NDCG@10 -metric2T NDCG@10 -save mymodel-lm3.txt

[+] General Parameters:
Training data:  Fold3/train.txt
Test data:      Fold3/test.txt
Validation data:        Fold3/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm3.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold3/train.txt]... [Done.]
(6000 ranked lists, 719111 entries read)
Reading feature file [Fold3/vali.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Reading feature file [Fold3/test.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
1       | 0.3395    | 0.3357    |
2       | 0.3565    | 0.3526    |
3       | 0.358     | 0.3544    |
4       | 0.3575    | 0.3535    |
5       | 0.3594    | 0.3553    |
6       | 0.3594    | 0.3556    |
7       | 0.3629    | 0.3589    |
8       | 0.363     | 0.3588    |
9       | 0.3669    | 0.3632    |
10      | 0.3678    | 0.364     |
11      | 0.3683    | 0.3647    |
12      | 0.369     | 0.3654    |
13      | 0.3722    | 0.3676    |
14      | 0.3736    | 0.3687    |
15      | 0.3761    | 0.3704    |
16      | 0.3778    | 0.371     |
17      | 0.3789    | 0.3722    |
18      | 0.3863    | 0.3807    |
19      | 0.3878    | 0.3821    |
20      | 0.3892    | 0.3843    |
21      | 0.3912    | 0.3871    |
22      | 0.3932    | 0.3884    |
23      | 0.3938    | 0.3893    |
24      | 0.3941    | 0.3896    |
25      | 0.396     | 0.3909    |
26      | 0.3963    | 0.3913    |
27      | 0.3965    | 0.3912    |
28      | 0.3977    | 0.3923    |
29      | 0.3981    | 0.3933    |
30      | 0.3995    | 0.3956    |
31      | 0.401     | 0.3972    |
32      | 0.4021    | 0.3981    |
33      | 0.4034    | 0.3989    |
34      | 0.4043    | 0.3997    |
35      | 0.4052    | 0.4007    |
36      | 0.4057    | 0.4019    |
37      | 0.4071    | 0.4032    |
38      | 0.4077    | 0.4027    |
39      | 0.4085    | 0.4044    |
40      | 0.4097    | 0.4052    |
41      | 0.41      | 0.4053    |
42      | 0.411     | 0.4058    |
43      | 0.4114    | 0.4057    |
44      | 0.4119    | 0.4057    |
45      | 0.4129    | 0.4067    |
46      | 0.4133    | 0.4075    |
47      | 0.4139    | 0.4086    |
48      | 0.4146    | 0.4093    |
49      | 0.4154    | 0.4103    |
50      | 0.4153    | 0.4105    |
51      | 0.4161    | 0.4113    |
52      | 0.4168    | 0.4121    |
53      | 0.4172    | 0.4127    |
54      | 0.4177    | 0.4132    |
55      | 0.4183    | 0.4134    |
56      | 0.4188    | 0.4141    |
57      | 0.4193    | 0.4144    |
58      | 0.4202    | 0.4145    |
59      | 0.4208    | 0.4152    |
60      | 0.4215    | 0.4158    |
61      | 0.4224    | 0.4164    |
62      | 0.4229    | 0.4167    |
63      | 0.4229    | 0.4168    |
64      | 0.4233    | 0.4168    |
65      | 0.4237    | 0.4175    |
66      | 0.4243    | 0.4179    |
67      | 0.4247    | 0.4183    |
68      | 0.4249    | 0.4187    |
69      | 0.4256    | 0.4194    |
70      | 0.4259    | 0.4198    |
71      | 0.4262    | 0.4196    |
72      | 0.4267    | 0.4198    |
73      | 0.4271    | 0.4199    |
74      | 0.4273    | 0.4203    |
75      | 0.4279    | 0.4208    |
76      | 0.4284    | 0.4213    |
77      | 0.4288    | 0.4215    |
78      | 0.429     | 0.4221    |
79      | 0.4292    | 0.4218    |
80      | 0.4296    | 0.4218    |
81      | 0.43      | 0.4223    |
82      | 0.4306    | 0.4225    |
83      | 0.4308    | 0.4227    |
84      | 0.431     | 0.4234    |
85      | 0.4312    | 0.4234    |
86      | 0.4316    | 0.4236    |
87      | 0.4318    | 0.424     |
88      | 0.432     | 0.4243    |
89      | 0.4321    | 0.4244    |
90      | 0.4322    | 0.4244    |
91      | 0.4325    | 0.4253    |
92      | 0.4332    | 0.4253    |
93      | 0.4333    | 0.4256    |
94      | 0.4336    | 0.4251    |
95      | 0.4338    | 0.4254    |
96      | 0.4342    | 0.4256    |
97      | 0.4345    | 0.4258    |
98      | 0.4347    | 0.426     |
99      | 0.4349    | 0.4262    |
100     | 0.4352    | 0.4264    |
101     | 0.4355    | 0.4269    |
102     | 0.4355    | 0.4268    |
103     | 0.4355    | 0.4268    |
104     | 0.4357    | 0.4266    |
105     | 0.4358    | 0.4268    |
106     | 0.4361    | 0.4261    |
107     | 0.4364    | 0.4264    |
108     | 0.4367    | 0.4265    |
109     | 0.4367    | 0.427     |
110     | 0.437     | 0.4273    |
111     | 0.4374    | 0.4272    |
112     | 0.4376    | 0.4277    |
113     | 0.438     | 0.4281    |
114     | 0.4382    | 0.4281    |
115     | 0.4385    | 0.4286    |
116     | 0.4386    | 0.4289    |
117     | 0.4389    | 0.4289    |
118     | 0.439     | 0.4287    |
119     | 0.4392    | 0.4286    |
120     | 0.4396    | 0.4286    |
121     | 0.4398    | 0.4288    |
122     | 0.4401    | 0.4289    |
123     | 0.4401    | 0.4289    |
124     | 0.4401    | 0.4287    |
125     | 0.4402    | 0.429     |
126     | 0.4406    | 0.4293    |
127     | 0.4405    | 0.4294    |
128     | 0.4407    | 0.4296    |
129     | 0.4408    | 0.4297    |
130     | 0.441     | 0.4294    |
131     | 0.4413    | 0.4296    |
132     | 0.4413    | 0.4295    |
133     | 0.4413    | 0.4297    |
134     | 0.4418    | 0.43      |
135     | 0.4418    | 0.4297    |
136     | 0.4419    | 0.4296    |
137     | 0.4422    | 0.4295    |
138     | 0.4424    | 0.4295    |
139     | 0.4424    | 0.4299    |
140     | 0.4425    | 0.4299    |
141     | 0.4425    | 0.4301    |
142     | 0.4426    | 0.4304    |
143     | 0.4431    | 0.4304    |
144     | 0.4434    | 0.4306    |
145     | 0.4434    | 0.4309    |
146     | 0.4433    | 0.4309    |
147     | 0.4434    | 0.4308    |
148     | 0.4435    | 0.4309    |
149     | 0.4436    | 0.4308    |
150     | 0.4437    | 0.4307    |
151     | 0.4438    | 0.4306    |
152     | 0.4439    | 0.4311    |
153     | 0.4438    | 0.4308    |
154     | 0.4439    | 0.431     |
155     | 0.444     | 0.431     |
156     | 0.4441    | 0.4309    |
157     | 0.4441    | 0.431     |
158     | 0.4442    | 0.4309    |
159     | 0.4444    | 0.431     |
160     | 0.4446    | 0.4312    |
161     | 0.4447    | 0.4313    |
162     | 0.4446    | 0.4313    |
163     | 0.4449    | 0.4317    |
164     | 0.445     | 0.4318    |
165     | 0.4451    | 0.4318    |
166     | 0.4452    | 0.4317    |
167     | 0.4453    | 0.4317    |
168     | 0.4455    | 0.432     |
169     | 0.4456    | 0.432     |
170     | 0.4457    | 0.4321    |
171     | 0.4459    | 0.4321    |
172     | 0.4461    | 0.432     |
173     | 0.4461    | 0.4323    |
174     | 0.4463    | 0.4321    |
175     | 0.4464    | 0.4323    |
176     | 0.4464    | 0.4323    |
177     | 0.4466    | 0.4322    |
178     | 0.4466    | 0.4324    |
179     | 0.4466    | 0.4327    |
180     | 0.4466    | 0.4327    |
181     | 0.4466    | 0.4328    |
182     | 0.4468    | 0.433     |
183     | 0.4469    | 0.4331    |
184     | 0.4469    | 0.433     |
185     | 0.4472    | 0.4333    |
186     | 0.4473    | 0.4333    |
187     | 0.4474    | 0.4333    |
188     | 0.4477    | 0.4335    |
189     | 0.4478    | 0.4337    |
190     | 0.4478    | 0.4333    |
191     | 0.4478    | 0.4337    |
192     | 0.4481    | 0.4339    |
193     | 0.448     | 0.434     |
194     | 0.4481    | 0.4345    |
195     | 0.4482    | 0.4344    |
196     | 0.4483    | 0.4343    |
197     | 0.4483    | 0.4344    |
198     | 0.4484    | 0.4345    |
199     | 0.4486    | 0.4346    |
200     | 0.4488    | 0.4344    |
201     | 0.4488    | 0.4345    |
202     | 0.4487    | 0.4343    |
203     | 0.449     | 0.4345    |
204     | 0.4496    | 0.4347    |
205     | 0.4496    | 0.4347    |
206     | 0.4495    | 0.4347    |
207     | 0.4498    | 0.435     |
208     | 0.45      | 0.4356    |
209     | 0.4498    | 0.4353    |
210     | 0.4501    | 0.4354    |
211     | 0.4502    | 0.4354    |
212     | 0.4503    | 0.4358    |
213     | 0.4502    | 0.4357    |
214     | 0.4505    | 0.4361    |
215     | 0.4505    | 0.4361    |
216     | 0.4506    | 0.4362    |
217     | 0.4505    | 0.436     |
218     | 0.4506    | 0.4358    |
219     | 0.4505    | 0.4355    |
220     | 0.4504    | 0.4354    |
221     | 0.4506    | 0.4354    |
222     | 0.4507    | 0.4355    |
223     | 0.4508    | 0.4356    |
224     | 0.4509    | 0.4356    |
225     | 0.451     | 0.436     |
226     | 0.451     | 0.4362    |
227     | 0.4511    | 0.4364    |
228     | 0.4513    | 0.4364    |
229     | 0.4514    | 0.4364    |
230     | 0.4516    | 0.437     |
231     | 0.4516    | 0.4368    |
232     | 0.4518    | 0.4369    |
233     | 0.4518    | 0.4369    |
234     | 0.452     | 0.4372    |
235     | 0.452     | 0.4373    |
236     | 0.4521    | 0.4375    |
237     | 0.4523    | 0.4376    |
238     | 0.4523    | 0.4373    |
239     | 0.4524    | 0.4372    |
240     | 0.4524    | 0.4372    |
241     | 0.4524    | 0.4373    |
242     | 0.4525    | 0.4374    |
243     | 0.4526    | 0.4376    |
244     | 0.4525    | 0.4375    |
245     | 0.4526    | 0.4378    |
246     | 0.4527    | 0.4379    |
247     | 0.4529    | 0.4377    |
248     | 0.4529    | 0.4376    |
249     | 0.4529    | 0.4376    |
250     | 0.4529    | 0.4375    |
251     | 0.4531    | 0.4374    |
252     | 0.4531    | 0.4373    |
253     | 0.4536    | 0.4378    |
254     | 0.4535    | 0.4378    |
255     | 0.4537    | 0.4379    |
256     | 0.4537    | 0.438     |
257     | 0.4539    | 0.4381    |
258     | 0.4539    | 0.4381    |
259     | 0.4539    | 0.4382    |
260     | 0.4542    | 0.4383    |
261     | 0.4543    | 0.4381    |
262     | 0.4546    | 0.4382    |
263     | 0.4546    | 0.4384    |
264     | 0.4547    | 0.4384    |
265     | 0.4548    | 0.438     |
266     | 0.4548    | 0.4381    |
267     | 0.455     | 0.4382    |
268     | 0.4551    | 0.4382    |
269     | 0.4552    | 0.4382    |
270     | 0.4552    | 0.4384    |
271     | 0.4553    | 0.4384    |
272     | 0.4554    | 0.4382    |
273     | 0.4555    | 0.4382    |
274     | 0.4555    | 0.4384    |
275     | 0.4555    | 0.4384    |
276     | 0.4555    | 0.4385    |
277     | 0.4555    | 0.4384    |
278     | 0.4556    | 0.4388    |
279     | 0.4556    | 0.4386    |
280     | 0.4558    | 0.4385    |
281     | 0.4556    | 0.4387    |
282     | 0.4556    | 0.4388    |
283     | 0.4556    | 0.4388    |
284     | 0.4557    | 0.4389    |
285     | 0.4556    | 0.4386    |
286     | 0.4556    | 0.4385    |
287     | 0.4557    | 0.4387    |
288     | 0.4558    | 0.4388    |
289     | 0.4559    | 0.4386    |
290     | 0.4559    | 0.4386    |
291     | 0.456     | 0.439     |
292     | 0.4561    | 0.4393    |
293     | 0.4564    | 0.4392    |
294     | 0.4565    | 0.4391    |
295     | 0.4567    | 0.439     |
296     | 0.4567    | 0.4393    |
297     | 0.4568    | 0.4391    |
298     | 0.4569    | 0.4398    |
299     | 0.457     | 0.4398    |
300     | 0.4573    | 0.4396    |
301     | 0.4574    | 0.4395    |
302     | 0.4574    | 0.4395    |
303     | 0.4575    | 0.4394    |
304     | 0.4574    | 0.4393    |
305     | 0.4576    | 0.4393    |
306     | 0.4576    | 0.4392    |
307     | 0.4576    | 0.4397    |
308     | 0.4577    | 0.4397    |
309     | 0.4576    | 0.4395    |
310     | 0.4576    | 0.4394    |
311     | 0.4576    | 0.4394    |
312     | 0.4577    | 0.4395    |
313     | 0.4577    | 0.4396    |
314     | 0.4579    | 0.4395    |
315     | 0.4579    | 0.4395    |
316     | 0.458     | 0.4396    |
317     | 0.458     | 0.4393    |
318     | 0.458     | 0.4394    |
319     | 0.458     | 0.4393    |
320     | 0.458     | 0.4394    |
321     | 0.4581    | 0.4395    |
322     | 0.4582    | 0.4393    |
323     | 0.4584    | 0.4391    |
324     | 0.4583    | 0.4392    |
325     | 0.4583    | 0.4395    |
326     | 0.4584    | 0.4395    |
327     | 0.4584    | 0.4395    |
328     | 0.4584    | 0.4394    |
329     | 0.4587    | 0.4395    |
330     | 0.4586    | 0.4395    |
331     | 0.4586    | 0.4395    |
332     | 0.4586    | 0.4399    |
333     | 0.4586    | 0.4397    |
334     | 0.4587    | 0.4396    |
335     | 0.4586    | 0.4397    |
336     | 0.4587    | 0.4397    |
337     | 0.4589    | 0.4397    |
338     | 0.4591    | 0.4398    |
339     | 0.4592    | 0.4396    |
340     | 0.4592    | 0.4397    |
341     | 0.4593    | 0.4396    |
342     | 0.4593    | 0.4397    |
343     | 0.4593    | 0.4397    |
344     | 0.4594    | 0.4397    |
345     | 0.4594    | 0.4399    |
346     | 0.4594    | 0.4398    |
347     | 0.4595    | 0.4398    |
348     | 0.4595    | 0.4399    |
349     | 0.4595    | 0.4399    |
350     | 0.4595    | 0.4399    |
351     | 0.4596    | 0.44      |
352     | 0.4596    | 0.4399    |
353     | 0.4597    | 0.4398    |
354     | 0.4597    | 0.4397    |
355     | 0.4598    | 0.4394    |
356     | 0.4597    | 0.4394    |
357     | 0.4598    | 0.4395    |
358     | 0.4598    | 0.4395    |
359     | 0.4598    | 0.4395    |
360     | 0.4603    | 0.4399    |
361     | 0.4604    | 0.4402    |
362     | 0.4604    | 0.4404    |
363     | 0.4603    | 0.4402    |
364     | 0.4604    | 0.44      |
365     | 0.4604    | 0.4402    |
366     | 0.4605    | 0.44      |
367     | 0.4606    | 0.44      |
368     | 0.4605    | 0.4401    |
369     | 0.4605    | 0.4396    |
370     | 0.4606    | 0.4398    |
371     | 0.4607    | 0.4399    |
372     | 0.4609    | 0.4397    |
373     | 0.4611    | 0.4399    |
374     | 0.461     | 0.4402    |
375     | 0.461     | 0.4402    |
376     | 0.461     | 0.4403    |
377     | 0.461     | 0.4402    |
378     | 0.461     | 0.44      |
379     | 0.461     | 0.44      |
380     | 0.4612    | 0.44      |
381     | 0.4613    | 0.4399    |
382     | 0.4618    | 0.4402    |
383     | 0.4618    | 0.4404    |
384     | 0.4621    | 0.4409    |
385     | 0.4622    | 0.441     |
386     | 0.4622    | 0.441     |
387     | 0.4623    | 0.4408    |
388     | 0.4623    | 0.4407    |
389     | 0.4624    | 0.4406    |
390     | 0.4624    | 0.4407    |
391     | 0.4624    | 0.4409    |
392     | 0.4625    | 0.4408    |
393     | 0.4625    | 0.4408    |
394     | 0.4626    | 0.4409    |
395     | 0.4626    | 0.4409    |
396     | 0.4626    | 0.4408    |
397     | 0.4626    | 0.4407    |
398     | 0.4626    | 0.4407    |
399     | 0.4627    | 0.4411    |
400     | 0.4627    | 0.4411    |
401     | 0.4626    | 0.441     |
402     | 0.4626    | 0.4412    |
403     | 0.4626    | 0.4412    |
404     | 0.4626    | 0.4411    |
405     | 0.4625    | 0.4413    |
406     | 0.4629    | 0.4413    |
407     | 0.4629    | 0.4412    |
408     | 0.4629    | 0.4412    |
409     | 0.4628    | 0.4415    |
410     | 0.4629    | 0.4411    |
411     | 0.4629    | 0.4411    |
412     | 0.463     | 0.4409    |
413     | 0.4631    | 0.4411    |
414     | 0.4631    | 0.4409    |
415     | 0.4631    | 0.441     |
416     | 0.4633    | 0.4412    |
417     | 0.4632    | 0.4411    |
418     | 0.4632    | 0.441     |
419     | 0.4632    | 0.4411    |
420     | 0.4632    | 0.4414    |
421     | 0.4632    | 0.4414    |
422     | 0.4633    | 0.4415    |
423     | 0.4634    | 0.4414    |
424     | 0.4635    | 0.4412    |
425     | 0.4635    | 0.4412    |
426     | 0.4636    | 0.4416    |
427     | 0.4638    | 0.4417    |
428     | 0.4637    | 0.4418    |
429     | 0.4639    | 0.4418    |
430     | 0.4639    | 0.4417    |
431     | 0.4639    | 0.4417    |
432     | 0.4639    | 0.4418    |
433     | 0.464     | 0.4419    |
434     | 0.464     | 0.442     |
435     | 0.464     | 0.4419    |
436     | 0.464     | 0.4417    |
437     | 0.4639    | 0.4416    |
438     | 0.4639    | 0.4418    |
439     | 0.464     | 0.4418    |
440     | 0.464     | 0.4417    |
441     | 0.4641    | 0.4413    |
442     | 0.4641    | 0.4412    |
443     | 0.4643    | 0.4411    |
444     | 0.4643    | 0.4412    |
445     | 0.4643    | 0.4411    |
446     | 0.4644    | 0.4409    |
447     | 0.4644    | 0.441     |
448     | 0.4643    | 0.4414    |
449     | 0.4644    | 0.4417    |
450     | 0.4645    | 0.4417    |
451     | 0.4645    | 0.4418    |
452     | 0.4646    | 0.4419    |
453     | 0.4646    | 0.442     |
454     | 0.4647    | 0.4422    |
455     | 0.4646    | 0.442     |
456     | 0.4647    | 0.4418    |
457     | 0.4647    | 0.4418    |
458     | 0.4647    | 0.4418    |
459     | 0.4648    | 0.442     |
460     | 0.4649    | 0.4419    |
461     | 0.4651    | 0.442     |
462     | 0.4651    | 0.4418    |
463     | 0.4653    | 0.442     |
464     | 0.4654    | 0.442     |
465     | 0.4653    | 0.4421    |
466     | 0.4654    | 0.4422    |
467     | 0.4654    | 0.4423    |
468     | 0.4654    | 0.4421    |
469     | 0.4654    | 0.4422    |
470     | 0.4655    | 0.4424    |
471     | 0.4656    | 0.4423    |
472     | 0.4655    | 0.4421    |
473     | 0.4655    | 0.4424    |
474     | 0.4655    | 0.4424    |
475     | 0.4656    | 0.4422    |
476     | 0.4656    | 0.4423    |
477     | 0.4656    | 0.4422    |
478     | 0.4659    | 0.4423    |
479     | 0.4659    | 0.4423    |
480     | 0.4659    | 0.4423    |
481     | 0.466     | 0.4423    |
482     | 0.4659    | 0.4423    |
483     | 0.4659    | 0.4422    |
484     | 0.466     | 0.4421    |
485     | 0.466     | 0.4422    |
486     | 0.466     | 0.4424    |
487     | 0.466     | 0.4424    |
488     | 0.466     | 0.4424    |
489     | 0.4661    | 0.4424    |
490     | 0.4661    | 0.4424    |
491     | 0.4661    | 0.4422    |
492     | 0.4661    | 0.4422    |
493     | 0.4663    | 0.4422    |
494     | 0.4663    | 0.4422    |
495     | 0.4663    | 0.4422    |
496     | 0.4662    | 0.442     |
497     | 0.4663    | 0.442     |
498     | 0.4663    | 0.442     |
499     | 0.4664    | 0.442     |
500     | 0.4664    | 0.4419    |
501     | 0.4664    | 0.442     |
502     | 0.4663    | 0.4421    |
503     | 0.4664    | 0.4422    |
504     | 0.4664    | 0.4422    |
505     | 0.4663    | 0.4422    |
506     | 0.4663    | 0.4422    |
507     | 0.4664    | 0.4422    |
508     | 0.4664    | 0.4421    |
509     | 0.4664    | 0.4421    |
510     | 0.4664    | 0.4421    |
511     | 0.4664    | 0.4421    |
512     | 0.4664    | 0.4424    |
513     | 0.4663    | 0.4424    |
514     | 0.4663    | 0.4424    |
515     | 0.4664    | 0.4424    |
516     | 0.4664    | 0.4424    |
517     | 0.4664    | 0.4423    |
518     | 0.4664    | 0.4424    |
519     | 0.4665    | 0.4424    |
520     | 0.4667    | 0.4427    |
521     | 0.4667    | 0.4426    |
522     | 0.4667    | 0.4426    |
523     | 0.4668    | 0.4426    |
524     | 0.4668    | 0.4426    |
525     | 0.4669    | 0.4426    |
526     | 0.4668    | 0.4429    |
527     | 0.4669    | 0.4429    |
528     | 0.467     | 0.4429    |
529     | 0.4674    | 0.4429    |
530     | 0.4675    | 0.4428    |
531     | 0.4675    | 0.4428    |
532     | 0.4675    | 0.4428    |
533     | 0.4674    | 0.4428    |
534     | 0.4676    | 0.4429    |
535     | 0.4676    | 0.443     |
536     | 0.4676    | 0.4432    |
537     | 0.4677    | 0.443     |
538     | 0.4678    | 0.4429    |
539     | 0.4678    | 0.4429    |
540     | 0.4678    | 0.4429    |
541     | 0.4679    | 0.443     |
542     | 0.4679    | 0.4429    |
543     | 0.4679    | 0.4428    |
544     | 0.4679    | 0.4429    |
545     | 0.468     | 0.4427    |
546     | 0.468     | 0.4428    |
547     | 0.468     | 0.4427    |
548     | 0.468     | 0.4428    |
549     | 0.4681    | 0.4428    |
550     | 0.4681    | 0.4429    |
551     | 0.4681    | 0.443     |
552     | 0.4683    | 0.4428    |
553     | 0.4683    | 0.4427    |
554     | 0.4683    | 0.4427    |
555     | 0.4683    | 0.4428    |
556     | 0.4684    | 0.4428    |
557     | 0.4683    | 0.4429    |
558     | 0.4684    | 0.4431    |
559     | 0.4684    | 0.4433    |
560     | 0.4684    | 0.4432    |
561     | 0.4684    | 0.4433    |
562     | 0.4685    | 0.4432    |
563     | 0.4685    | 0.4432    |
564     | 0.4685    | 0.4432    |
565     | 0.4685    | 0.4434    |
566     | 0.4686    | 0.4436    |
567     | 0.4688    | 0.4435    |
568     | 0.4687    | 0.4436    |
569     | 0.4688    | 0.4434    |
570     | 0.4688    | 0.4433    |
571     | 0.4688    | 0.4431    |
572     | 0.4688    | 0.443     |
573     | 0.4689    | 0.4429    |
574     | 0.469     | 0.4432    |
575     | 0.4689    | 0.4433    |
576     | 0.4691    | 0.4434    |
577     | 0.4691    | 0.4435    |
578     | 0.4692    | 0.4435    |
579     | 0.4692    | 0.4434    |
580     | 0.4692    | 0.4436    |
581     | 0.4692    | 0.4436    |
582     | 0.4693    | 0.4436    |
583     | 0.4692    | 0.4437    |
584     | 0.4693    | 0.4437    |
585     | 0.4694    | 0.4439    |
586     | 0.4694    | 0.4438    |
587     | 0.4693    | 0.4438    |
588     | 0.4695    | 0.4442    |
589     | 0.4695    | 0.4441    |
590     | 0.4695    | 0.4439    |
591     | 0.4696    | 0.444     |
592     | 0.4696    | 0.4438    |
593     | 0.4697    | 0.444     |
594     | 0.4699    | 0.444     |
595     | 0.4699    | 0.444     |
596     | 0.47      | 0.4441    |
597     | 0.47      | 0.4441    |
598     | 0.47      | 0.4442    |
599     | 0.4703    | 0.4445    |
600     | 0.4703    | 0.4445    |
601     | 0.4703    | 0.4445    |
602     | 0.4702    | 0.4446    |
603     | 0.47      | 0.4447    |
604     | 0.47      | 0.4446    |
605     | 0.47      | 0.4446    |
606     | 0.4701    | 0.4444    |
607     | 0.4701    | 0.4443    |
608     | 0.4701    | 0.4443    |
609     | 0.4702    | 0.4443    |
610     | 0.4701    | 0.4444    |
611     | 0.4703    | 0.4443    |
612     | 0.4704    | 0.4442    |
613     | 0.4704    | 0.4442    |
614     | 0.4704    | 0.4443    |
615     | 0.4704    | 0.4444    |
616     | 0.4705    | 0.4444    |
617     | 0.4705    | 0.4443    |
618     | 0.4705    | 0.4445    |
619     | 0.4706    | 0.4445    |
620     | 0.4706    | 0.4442    |
621     | 0.4706    | 0.4441    |
622     | 0.4706    | 0.444     |
623     | 0.4707    | 0.444     |
624     | 0.4707    | 0.444     |
625     | 0.4707    | 0.444     |
626     | 0.4707    | 0.4438    |
627     | 0.4706    | 0.4439    |
628     | 0.4707    | 0.444     |
629     | 0.4708    | 0.4442    |
630     | 0.4709    | 0.4439    |
631     | 0.4709    | 0.4439    |
632     | 0.4709    | 0.4439    |
633     | 0.4711    | 0.4441    |
634     | 0.4711    | 0.4441    |
635     | 0.4711    | 0.4441    |
636     | 0.471     | 0.4441    |
637     | 0.4711    | 0.4442    |
638     | 0.4711    | 0.4446    |
639     | 0.4711    | 0.4443    |
640     | 0.4714    | 0.4444    |
641     | 0.4715    | 0.4442    |
642     | 0.4715    | 0.4442    |
643     | 0.4714    | 0.4443    |
644     | 0.4714    | 0.4443    |
645     | 0.4714    | 0.4441    |
646     | 0.4714    | 0.444     |
647     | 0.4714    | 0.4439    |
648     | 0.4715    | 0.444     |
649     | 0.4715    | 0.444     |
650     | 0.4715    | 0.4439    |
651     | 0.4715    | 0.444     |
652     | 0.4715    | 0.4443    |
653     | 0.4715    | 0.4443    |
654     | 0.4715    | 0.4444    |
655     | 0.4716    | 0.4444    |
656     | 0.4716    | 0.4444    |
657     | 0.4715    | 0.4444    |
658     | 0.4715    | 0.4444    |
659     | 0.4716    | 0.4447    |
660     | 0.4716    | 0.4447    |
661     | 0.4717    | 0.4447    |
662     | 0.4717    | 0.4447    |
663     | 0.4718    | 0.4446    |
664     | 0.4717    | 0.4446    |
665     | 0.4718    | 0.4448    |
666     | 0.4719    | 0.4451    |
667     | 0.4718    | 0.4452    |
668     | 0.4718    | 0.4452    |
669     | 0.4718    | 0.4452    |
670     | 0.4717    | 0.4451    |
671     | 0.4717    | 0.4451    |
672     | 0.4719    | 0.4451    |
673     | 0.4719    | 0.445     |
674     | 0.472     | 0.445     |
675     | 0.4723    | 0.4454    |
676     | 0.4723    | 0.4454    |
677     | 0.4722    | 0.4451    |
678     | 0.4723    | 0.4452    |
679     | 0.4722    | 0.4452    |
680     | 0.4723    | 0.4452    |
681     | 0.4724    | 0.4451    |
682     | 0.4724    | 0.4452    |
683     | 0.4723    | 0.4452    |
684     | 0.4724    | 0.4452    |
685     | 0.4724    | 0.4452    |
686     | 0.4723    | 0.4453    |
687     | 0.4723    | 0.4452    |
