[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
1       | 0.3351    | 0.3376    |
2       | 0.3421    | 0.3424    |
3       | 0.3502    | 0.3515    |
4       | 0.358     | 0.3601    |
5       | 0.3619    | 0.3656    |
6       | 0.3641    | 0.3683    |
7       | 0.3664    | 0.3707    |
8       | 0.3753    | 0.3758    |
9       | 0.378     | 0.3789    |
10      | 0.3803    | 0.3803    |
11      | 0.3798    | 0.3817    |
12      | 0.3827    | 0.3847    |
13      | 0.3859    | 0.3871    |
14      | 0.3874    | 0.3873    |
15      | 0.3899    | 0.3906    |
16      | 0.3917    | 0.3919    |
17      | 0.3934    | 0.3942    |
18      | 0.3947    | 0.3947    |
19      | 0.3963    | 0.396     |
20      | 0.397     | 0.3981    |
21      | 0.3983    | 0.3984    |
22      | 0.3997    | 0.3998    |
23      | 0.4003    | 0.4       |
24      | 0.4016    | 0.402     |
25      | 0.402     | 0.4021    |
26      | 0.4028    | 0.4027    |
27      | 0.4039    | 0.4035    |
28      | 0.405     | 0.4049    |
29      | 0.4063    | 0.4065    |
30      | 0.4071    | 0.4069    |
31      | 0.4079    | 0.407     |
32      | 0.409     | 0.4085    |
33      | 0.4089    | 0.4089    |
34      | 0.4104    | 0.41      |
35      | 0.4104    | 0.4097    |
36      | 0.4108    | 0.41      |
37      | 0.4113    | 0.411     |
38      | 0.412     | 0.4123    |
39      | 0.4124    | 0.4119    |
40      | 0.4126    | 0.4124    |
41      | 0.4134    | 0.4131    |
42      | 0.4135    | 0.4129    |
43      | 0.4138    | 0.4142    |
44      | 0.4147    | 0.4156    |
45      | 0.4158    | 0.4161    |
46      | 0.4165    | 0.4172    |
47      | 0.417     | 0.4174    |
48      | 0.4171    | 0.4183    |
49      | 0.418     | 0.4185    |
50      | 0.418     | 0.4187    |
51      | 0.4185    | 0.4188    |
52      | 0.4192    | 0.4196    |
53      | 0.4198    | 0.4204    |
54      | 0.42      | 0.4211    |
55      | 0.4208    | 0.4222    |
56      | 0.4209    | 0.4222    |
57      | 0.4214    | 0.4221    |
58      | 0.4215    | 0.4228    |
59      | 0.4216    | 0.4233    |
60      | 0.4216    | 0.4236    |
61      | 0.4222    | 0.424     |
