[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train Fold3/train.txt -test Fold3/test.txt -validate Fold3/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart3.txt

[+] General Parameters:
Training data:  Fold3/train.txt
Test data:      Fold3/test.txt
Validation data:        Fold3/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart3.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold3/train.txt]... [Done.]
(6000 ranked lists, 719111 entries read)
Reading feature file [Fold3/vali.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Reading feature file [Fold3/test.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
1       | 0.3435    | 0.3453    |
2       | 0.352     | 0.3514    |
3       | 0.36      | 0.3596    |
4       | 0.363     | 0.363     |
5       | 0.3648    | 0.3641    |
6       | 0.3669    | 0.3662    |
7       | 0.3687    | 0.3683    |
8       | 0.3767    | 0.3756    |
9       | 0.3788    | 0.3775    |
10      | 0.3816    | 0.3814    |
11      | 0.384     | 0.3829    |
12      | 0.3862    | 0.3849    |
13      | 0.3884    | 0.3865    |
14      | 0.3902    | 0.3877    |
15      | 0.3922    | 0.3885    |
16      | 0.3929    | 0.3893    |
17      | 0.3941    | 0.3907    |
18      | 0.3949    | 0.392     |
19      | 0.3958    | 0.3941    |
20      | 0.3971    | 0.3951    |
21      | 0.3977    | 0.3958    |
22      | 0.3983    | 0.3962    |
23      | 0.3998    | 0.3977    |
24      | 0.4011    | 0.3994    |
25      | 0.4024    | 0.4012    |
26      | 0.4029    | 0.4011    |
27      | 0.4038    | 0.4029    |
28      | 0.4056    | 0.4043    |
29      | 0.4053    | 0.4048    |
30      | 0.4067    | 0.4056    |
31      | 0.4072    | 0.4059    |
32      | 0.4078    | 0.407     |
33      | 0.4082    | 0.4068    |
34      | 0.4101    | 0.4084    |
35      | 0.4105    | 0.4089    |
36      | 0.4109    | 0.409     |
37      | 0.4118    | 0.4098    |
38      | 0.4127    | 0.4112    |
39      | 0.4137    | 0.4119    |
40      | 0.4145    | 0.4124    |
41      | 0.4153    | 0.413     |
42      | 0.4154    | 0.4132    |
43      | 0.4154    | 0.4137    |
44      | 0.4158    | 0.4135    |
45      | 0.4164    | 0.4133    |
46      | 0.4171    | 0.4135    |
47      | 0.4177    | 0.4135    |
48      | 0.4178    | 0.4142    |
49      | 0.4182    | 0.4146    |
50      | 0.4185    | 0.4145    |
51      | 0.4187    | 0.4145    |
52      | 0.4196    | 0.4154    |
53      | 0.4203    | 0.4156    |
54      | 0.4208    | 0.4163    |
55      | 0.4216    | 0.4168    |
56      | 0.4218    | 0.4164    |
57      | 0.4222    | 0.4173    |
58      | 0.4222    | 0.4179    |
59      | 0.4227    | 0.4178    |
60      | 0.4231    | 0.418     |
61      | 0.4233    | 0.4182    |
62      | 0.4235    | 0.4179    |
63      | 0.4235    | 0.4183    |
64      | 0.424     | 0.4178    |
65      | 0.424     | 0.4185    |
66      | 0.424     | 0.4187    |
67      | 0.4242    | 0.4192    |
68      | 0.4245    | 0.4193    |
69      | 0.4246    | 0.42      |
70      | 0.4251    | 0.4196    |
71      | 0.4251    | 0.4198    |
72      | 0.4252    | 0.4202    |
73      | 0.4256    | 0.4203    |
74      | 0.4257    | 0.4202    |
75      | 0.4256    | 0.4204    |
76      | 0.4259    | 0.4203    |
77      | 0.4262    | 0.4205    |
78      | 0.4266    | 0.4209    |
79      | 0.4267    | 0.4213    |
80      | 0.4267    | 0.4215    |
81      | 0.427     | 0.4214    |
82      | 0.4271    | 0.4214    |
83      | 0.4275    | 0.4214    |
84      | 0.4276    | 0.4215    |
85      | 0.4281    | 0.4221    |
86      | 0.4285    | 0.4227    |
87      | 0.4287    | 0.4231    |
88      | 0.4295    | 0.4238    |
89      | 0.4295    | 0.4242    |
90      | 0.43      | 0.4249    |
91      | 0.4303    | 0.4249    |
92      | 0.4305    | 0.425     |
93      | 0.4306    | 0.4249    |
94      | 0.4307    | 0.425     |
95      | 0.4308    | 0.4249    |
96      | 0.4309    | 0.4252    |
97      | 0.4309    | 0.4245    |
98      | 0.4309    | 0.4243    |
99      | 0.4311    | 0.4242    |
100     | 0.4314    | 0.4247    |
101     | 0.4314    | 0.4247    |
102     | 0.4312    | 0.4249    |
103     | 0.4313    | 0.425     |
104     | 0.4312    | 0.4249    |
105     | 0.4313    | 0.4254    |
106     | 0.4313    | 0.425     |
107     | 0.4315    | 0.4253    |
108     | 0.4316    | 0.4253    |
109     | 0.4317    | 0.4252    |
110     | 0.432     | 0.4255    |
111     | 0.4326    | 0.4259    |
112     | 0.433     | 0.4261    |
113     | 0.4331    | 0.4263    |
114     | 0.433     | 0.426     |
115     | 0.4331    | 0.4261    |
116     | 0.433     | 0.426     |
117     | 0.4332    | 0.4263    |
118     | 0.4332    | 0.4262    |
119     | 0.4334    | 0.4266    |
120     | 0.4336    | 0.4267    |
121     | 0.4335    | 0.4265    |
122     | 0.4336    | 0.4268    |
123     | 0.4337    | 0.4265    |
124     | 0.4338    | 0.4265    |
125     | 0.4337    | 0.4266    |
126     | 0.4339    | 0.4265    |
127     | 0.434     | 0.4267    |
128     | 0.434     | 0.427     |
129     | 0.434     | 0.4271    |
130     | 0.4341    | 0.4269    |
131     | 0.4343    | 0.4268    |
132     | 0.4344    | 0.427     |
133     | 0.4346    | 0.4266    |
134     | 0.4347    | 0.4266    |
135     | 0.4349    | 0.4273    |
136     | 0.4352    | 0.4276    |
137     | 0.4355    | 0.4277    |
138     | 0.4353    | 0.4278    |
139     | 0.4354    | 0.428     |
140     | 0.4358    | 0.4285    |
141     | 0.4359    | 0.4285    |
142     | 0.436     | 0.4287    |
143     | 0.4361    | 0.4288    |
144     | 0.4369    | 0.429     |
145     | 0.4369    | 0.4288    |
146     | 0.4369    | 0.4288    |
147     | 0.4374    | 0.429     |
148     | 0.4375    | 0.4292    |
149     | 0.4379    | 0.4291    |
150     | 0.4381    | 0.4293    |
151     | 0.438     | 0.4291    |
152     | 0.4383    | 0.4295    |
153     | 0.4383    | 0.4294    |
154     | 0.4384    | 0.4295    |
155     | 0.4384    | 0.4299    |
156     | 0.4384    | 0.43      |
157     | 0.4385    | 0.4297    |
158     | 0.4383    | 0.4296    |
159     | 0.4384    | 0.4298    |
160     | 0.4387    | 0.4302    |
161     | 0.4387    | 0.43      |
162     | 0.439     | 0.4304    |
163     | 0.439     | 0.4305    |
164     | 0.4391    | 0.4304    |
165     | 0.4393    | 0.4306    |
166     | 0.4393    | 0.4308    |
167     | 0.4395    | 0.431     |
168     | 0.4398    | 0.4313    |
169     | 0.4398    | 0.4313    |
170     | 0.44      | 0.4313    |
171     | 0.44      | 0.4315    |
172     | 0.4399    | 0.4314    |
173     | 0.44      | 0.4315    |
174     | 0.4401    | 0.4314    |
175     | 0.4401    | 0.4314    |
176     | 0.4401    | 0.4315    |
177     | 0.4401    | 0.4313    |
178     | 0.4401    | 0.4315    |
179     | 0.4404    | 0.4316    |
180     | 0.4407    | 0.4319    |
