[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-rankboost.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: RankBoost
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V |
--------------------------------------------------------------------
1       | 8        | 0.5       | 0.0999    | 0.806     | 0.2259    |
2       | 108      | 8.4586    | 0.0674    | 0.7561    | 0.2359    |
3       | 104      | 0.2       | 0.0525    | 0.5926    | 0.2499    |
4       | 8        | 0.7       | 0.0485    | 0.5733    | 0.2594    |
5       | 108      | 16.9171   | 0.0376    | 0.5003    | 0.2695    |
6       | 110      | 15.5785   | 0.0315    | 0.4899    | 0.2717    |
7       | 130      | 26273.6   | 0.0298    | 0.4338    | 0.2936    |
8       | 49       | 0.1636    | 0.0297    | 0.4057    | 0.3023    |
9       | 3        | 1.5       | 0.0276    | 0.4053    | 0.3021    |
10      | 7        | 0.2       | 0.0269    | 0.3756    | 0.3092    |
11      | 131      | 45874.8   | 0.024     | 0.3577    | 0.3147    |
12      | 108      | 16.9171   | 0.0244    | 0.3551    | 0.3119    |
13      | 105      | 0.9       | 0.0227    | 0.3516    | 0.313     |
14      | 130      | 45903.8   | 0.0216    | 0.351     | 0.3171    |
15      | 110      | 15.5785   | 0.0209    | 0.3512    | 0.3172    |
16      | 7        | 0.4       | 0.0186    | 0.3507    | 0.3178    |
17      | 106      | 16.3501   | 0.0175    | 0.3498    | 0.3183    |
18      | 130      | 13186.8   | 0.0173    | 0.3496    | 0.323     |
19      | 109      | 7.2198    | 0.0166    | 0.3474    | 0.322     |
20      | 129      | 17.8      | 0.016     | 0.3457    | 0.3241    |
21      | 108      | 16.9171   | 0.0159    | 0.3438    | 0.3217    |
22      | 113      | -14.6692  | 0.0145    | 0.3437    | 0.3225    |
23      | 131      | 39321.4   | 0.0144    | 0.3428    | 0.3242    |
24      | 115      | -16.0345  | 0.014     | 0.3426    | 0.3244    |
25      | 130      | 58990.6   | 0.0132    | 0.3432    | 0.3259    |
26      | 129      | 17.8      | 0.0132    | 0.3441    | 0.3278    |
27      | 115      | -16.0345  | 0.0127    | 0.3447    | 0.3282    |
28      | 107      | 13.0152   | 0.0124    | 0.3439    | 0.3296    |
29      | 123      | -16.8443  | 0.012     | 0.3439    | 0.3297    |
30      | 109      | 14.4397   | 0.0113    | 0.3431    | 0.3301    |
31      | 129      | 17.8      | 0.0112    | 0.3439    | 0.3304    |
32      | 110      | 15.5785   | 0.0108    | 0.3438    | 0.3305    |
33      | 130      | 6643.4    | 0.0108    | 0.3436    | 0.3319    |
34      | 132      | 26.3      | 0.0106    | 0.3395    | 0.3314    |
35      | 113      | -14.6692  | 0.0107    | 0.3398    | 0.3319    |
36      | 107      | 13.0152   | 0.0104    | 0.3395    | 0.332     |
37      | 130      | 58990.6   | 0.0101    | 0.3408    | 0.333     |
38      | 115      | -16.0345  | 0.01      | 0.3409    | 0.3332    |
39      | 129      | 17.8      | 0.0095    | 0.3415    | 0.3336    |
40      | 123      | -16.8443  | 0.0095    | 0.3416    | 0.3339    |
41      | 107      | 13.0152   | 0.009     | 0.3407    | 0.3333    |
42      | 105      | 0.9       | 0.0088    | 0.341     | 0.333     |
43      | 132      | 26.3      | 0.0083    | 0.3401    | 0.3312    |
44      | 130      | 45903.8   | 0.0084    | 0.3411    | 0.3327    |
45      | 115      | -16.0345  | 0.0083    | 0.3412    | 0.3327    |
46      | 129      | 17.8      | 0.0082    | 0.3413    | 0.3326    |
47      | 109      | 14.4397   | 0.0081    | 0.341     | 0.3323    |
48      | 123      | -16.8443  | 0.0079    | 0.3411    | 0.3325    |
49      | 107      | 13.0152   | 0.0076    | 0.3408    | 0.3316    |
50      | 131      | 45874.8   | 0.0075    | 0.3408    | 0.3321    |
51      | 48       | 0.3       | 0.0073    | 0.3394    | 0.3322    |
52      | 130      | 58990.6   | 0.007     | 0.3402    | 0.3323    |
53      | 106      | 16.3501   | 0.0069    | 0.3402    | 0.3323    |
54      | 132      | 26.3      | 0.0069    | 0.3394    | 0.3317    |
55      | 108      | 25.3757   | 0.0068    | 0.339     | 0.3321    |
56      | 129      | 17.8      | 0.0067    | 0.3391    | 0.3325    |
57      | 60       | 0.0801    | 0.0065    | 0.3379    | 0.3327    |
58      | 107      | 13.0152   | 0.0064    | 0.3376    | 0.3322    |
59      | 115      | -16.0345  | 0.0063    | 0.3377    | 0.3322    |
60      | 108      | 25.3757   | 0.0063    | 0.338     | 0.3323    |
61      | 130      | 19730.2   | 0.0061    | 0.3387    | 0.3329    |
62      | 123      | -16.8443  | 0.0061    | 0.3388    | 0.333     |
63      | 64       | 0.12      | 0.0059    | 0.3385    | 0.3336    |
64      | 108      | 25.3757   | 0.0058    | 0.3387    | 0.3334    |
65      | 129      | 17.8      | 0.0057    | 0.3389    | 0.3338    |
66      | 115      | -16.0345  | 0.0054    | 0.3389    | 0.334     |
67      | 107      | 13.0152   | 0.0054    | 0.3386    | 0.3335    |
68      | 108      | 25.3757   | 0.0053    | 0.3387    | 0.3338    |
69      | 130      | 58990.6   | 0.0052    | 0.3393    | 0.3343    |
70      | 109      | 14.4397   | 0.0051    | 0.3389    | 0.3339    |
71      | 132      | 26.3      | 0.0051    | 0.338     | 0.3335    |
72      | 123      | -16.8443  | 0.005     | 0.338     | 0.3338    |
73      | 131      | 32768.0   | 0.005     | 0.338     | 0.3332    |
74      | 108      | 25.3757   | 0.0049    | 0.3381    | 0.3335    |
75      | 2        | 1.4       | 0.0048    | 0.3381    | 0.3333    |
76      | 129      | 17.8      | 0.0047    | 0.3382    | 0.3331    |
77      | 60       | 0.0801    | 0.0046    | 0.3379    | 0.3333    |
