[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar  -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel_new_lm.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel_new_lm.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
1       | 0.3411    | 0.3448    |
2       | 0.3584    | 0.3631    |
3       | 0.3602    | 0.3657    |
4       | 0.3603    | 0.3656    |
5       | 0.3615    | 0.3675    |
6       | 0.3615    | 0.3675    |
7       | 0.3621    | 0.3678    |
8       | 0.362     | 0.3677    |
9       | 0.3646    | 0.3701    |
10      | 0.3647    | 0.3712    |
11      | 0.3645    | 0.3708    |
12      | 0.3646    | 0.3713    |
13      | 0.3753    | 0.3801    |
14      | 0.3768    | 0.381     |
15      | 0.3783    | 0.3831    |
16      | 0.3804    | 0.3845    |
17      | 0.3829    | 0.3864    |
18      | 0.3852    | 0.3891    |
19      | 0.3858    | 0.3889    |
20      | 0.3873    | 0.3909    |
21      | 0.39      | 0.3928    |
22      | 0.3923    | 0.3941    |
23      | 0.3935    | 0.3955    |
24      | 0.3943    | 0.3965    |
25      | 0.3947    | 0.3968    |
26      | 0.3955    | 0.3979    |
27      | 0.3962    | 0.399     |
28      | 0.3987    | 0.4       |
29      | 0.3992    | 0.4007    |
30      | 0.4007    | 0.4028    |
31      | 0.4022    | 0.4039    |
32      | 0.4028    | 0.4046    |
33      | 0.4041    | 0.4067    |
34      | 0.4047    | 0.408     |
35      | 0.4061    | 0.4103    |
36      | 0.407     | 0.4109    |
37      | 0.407     | 0.4108    |
38      | 0.4078    | 0.4122    |
39      | 0.4083    | 0.4125    |
40      | 0.4089    | 0.4139    |
41      | 0.4097    | 0.4146    |
